"code","name","short_name"
"NTUST","國立臺灣科技大學","台科大"
"NTHU","國立清華大學","清大"
"NTNU","國立臺灣師範大學","台師大"
"NTU","國立臺灣大學","台大"
"NTPU","國立臺北大學","北大"
"TTU","大同大學","大同"
"CGU","長庚大學","長庚"
"YZU","元智大學","元智"
"CYCU","中原大學","中原"
"TKU","淡江大學","淡江"
"FJU","輔仁大學","輔仁"
"PCCU","文化大學","文化"
"SCU","東吳大學","東吳"
"NSYSU","國立中山大學","中山"
"CCU","國立中正大學","中正"
"NCHU","國立中興大學","中興"
"NCTU","國立交通大學","交大"
"NCKU","國立成功大學","成大"
"NCCU","國立政治大學","政大"
"YUNTECH","國立雲林科技大學","雲科"
"NTUT","國立臺北科技大學","北科大"
"CGIT","長庚技術大學","長庚"
"STUT","南台科技大學","南台科大"
"CHU","中華大學","中華"
"CMU","中國醫藥大學","中國醫大"
"FGU","佛光大學","佛光"
"CPU","中央警察大學","警大"
"CTU","建國科技大學","建國科大"
"CUST","中華科技大學","中華科大"
"CUTE","中國科技大學","中國科大"
"DDC","法鼓人文社會學院","法鼓"
"DYU","大葉大學","大葉"
"FJTC","和春技術學院","和春"
"HCU","玄奘大學","玄奘"
"NCUE","國立彰化師範大學","彰師大"
"HUST","修平科技大學","修平科大"
"KMU","高雄醫學大學","高醫"
"HWAI","中華醫事科技大學","中華醫事"
"KYU","高苑科技大學","高苑科大"
"MCUT","明志科技大學","明志科大"
"MAIL","國立高雄海洋科技大學","高海科"
"MEIHO","美和科技大學","美和科大"
"MDU","明道大學","明道"
"MUST","明新科技大學","明科大"
"NANYA","南亞技術學院","南亞"
"NCNU","國立暨南大學","暨南"
"NCU","國立中央大學","中央"
"NCYU","國立嘉義大學","嘉大"
"NFU","國立虎尾科技大學","虎尾科大"
"NQU","金門大學","金大"
"NHCUE","國立新竹教育大學","竹教"
"NIU","國立宜蘭大學","宜大"
"NDHU","國立東華大學","東華"
"NKNU","國立高雄師範大學","高師大"
"NKUHT","國立高雄餐旅大學","高餐"
"NPUST","國立屏東科技大學","屏東科大"
"NOU","國立空中大學","空大"
"NTCB","國立臺北商業技術學院","北商"
"SHU","世新大學","世新"
"NTCU","國立臺中教育大學","中教大"
"NTCNC","國立臺中護理專科學校","中護"
"NTPC","國立海山高工","海工"
"NTTU","國立臺東大學","東大"
"OIT","亞東技術學院","亞東"
"NTUE","國立臺北教育大學","北教大"
"NUK","國立高雄大學","高大"
"NUTN","國立臺南大學","南大"
"TNUA","國立臺北藝術大學","北藝"
"NJTC","南榮技術學院","南榮"
"YPU","元培科技大學","元培科大"
"TF","東方設計學院","東方"
"TNNUA","國立臺南藝術大學","南藝大"
"CJCU","長榮大學","長榮"
"TNU","東南科技大學","東南科大"
"TSINT","台北城市科技大學","城市科大"
"WFU","吳鳳科技大學","吳鳳科大"
"TSU","台灣首府大學","首府"
"CTUST","中臺科技大學","中臺科大"
"YM","國立陽明大學","陽明"
"CHIHLEE","致理科技大學","致理"
"THU","東海大學","東海"
"NKUT","南開科技大學","南開"
"AU","真理大學","真理"
"KUAS","國立高雄應用科技大學","高應大"
"ISU","義守大學","義大"
"USC","實踐大學","實踐"
