1,1,08:10-09:00
2,2,09:10-10:00
3,3,10:10-11:00
4,4,11:10-12:00
5,5,13:00-13:50
6,6,13:55-14:45
7,7,14:55-15:45
8,8,15:50-16:40
9,9,16:45-17:35
10,X,17:40-18:30
11,A,18:20-19:05
12,B,19:05-19:50
13,C,20:00-20:45
14,D,20:45-21:30
15,E,21:30-22:15
16,1,08:25-09:10
17,2,09:10-09:55
18,3,10:00-10:45
19,4,10:45-11:30
20,5,11:35-12:20
21,6,12:20-13:00
22,7,13:00-13:45
23,8,13:45-14:30
24,9,14:35-15:20
25,W,15:20-16:05
26,X,16:10-16:55
27,Y,16:55-17:40
28,Z,17:40-18:20
29,A,18:20-19:05
30,B,19:05-19:50
31,C,20:00-20:45
32,D,20:45-21:30
33,E,21:30-22:15
