1,1,08:10-09:00
2,2,09:10-10:00
3,3,10:10-11:00
4,4,11:10-12:00
5,5,13:20-14:10
6,6,14:20-15:10
7,7,15:20-16:10
8,8,16:20-17:10
9,9,17:20-18:10
10,10,18:30-19:20
11,11,19:20-20:10
12,12,20:05-20:55
13,13,20:55-21:40
14,14,21:40-22:25
15,1,08:10-08:55
16,2,08:55-09:40
17,3,09:50-10:35
18,4,10:35-11:20
19,5,11:30-12:15
20,6,12:45-13:30
21,7,13:30-14:15
22,8,14:25-15:10
23,9,15:10-15:55
24,10,16:05-16:50
25,11,16:50-17:35
26,12,18:05-18:50
27,13,18:50-19:35
28,14,19:45-20:30
29,15,20:30-21:15
30,16,21:25-22:10
